index,id,url,#reviewers,#messages,#inline_comments,#unsolved_inline_comments,len_messages,churn,#revisions,#files,duration,len_description,subject categories,subject keywords,description categories,description keywords,subject,description
779,pyside%2Fpyside-setup~dev~Id10f03d06f7dd82fdd90a93d8f8df9e1bd36ae85,https://codereview.qt-project.org/332307,1,3,0,0,180,37,1,1,75.1825,161,refactoring/,refactor|,refactoring/,refactor|,WIP: Refactor using,WIP: Refactor using  todo  is this needed at all(binding-wise due to the base class)  see however libsample  Change-Id: Id10f03d06f7dd82fdd90a93d8f8df9e1bd36ae85
921,pyside%2Fpyside-setup~dev~I5d306f5e551b2783362fd0aed3050172f68402d1,https://codereview.qt-project.org/325851,1,7,1,0,372,147,3,3,1099.045,106,refactoring/,refactor|,refactoring/,refactor|,WIP: shiboken6: Refactor operator function detection,WIP: shiboken6: Refactor operator function detection  Change-Id: I5d306f5e551b2783362fd0aed3050172f68402d1
1054,qt%2Fqtdeclarative~5.9~I836e47199daee9522d41143f839d2444588ec9a4,https://codereview.qt-project.org/196433,1,4,0,0,86,41,2,1,7976.60055555556,238,refactoring/,refactor|,refactoring/,refactor|,Refactor the identifier() code in the QV4::Codegen,"Refactor the identifier() code in the QV4::Codegen  Prepare is, so we can record more exactly which variables of a context can escape and need to be stored as locals in the CallContext  Change-Id: I836e47199daee9522d41143f839d2444588ec9a4"
1771,qt%2Fqtdeclarative~5.11~I48f71d4e86058005bced9353b69ee49ec6229bed,https://codereview.qt-project.org/220386,1,4,0,0,86,25,2,2,21.3486111111111,231,refactoring/,refactor|,refactoring/,refactor|,"Refactor fromQmlScopeObject(), fromQmlContextObject()","Refactor fromQmlScopeObject(), fromQmlContextObject()  Pass QQmlPropertyData so that these functions can calculate stuff themselves instead of relying on the call site to do it.  Change-Id: I48f71d4e86058005bced9353b69ee49ec6229bed"
1772,qt%2Fqtbase~dev~I33f6f5f12a78c25931f072c528c5766539776fe1,https://codereview.qt-project.org/219699,2,3,0,0,272,219,1,3,165.775,130,refactoring/,refactor|,refactoring/,refactor|,WIP: WIP: Refactor tst_qmenu + suppres spurious mouse WINdows,WIP: WIP: Refactor tst_qmenu + suppres spurious mouse WINdows  Do not submit  Change-Id: I33f6f5f12a78c25931f072c528c5766539776fe1
1834,qt%2Fqtbase~dev~Iec64f9accff62e9acb08942b2fa95ab15c3546b5,https://codereview.qt-project.org/213429,9,6,7,0,557,529,1,17,1673.62416666667,233,refactoring/,refactor|,refactoring/,refactor|,Refactor qt_mac_toQPixmap to handle HiDPI and template images,Refactor qt_mac_toQPixmap to handle HiDPI and template images  This will allow us to get better conversion fidelity from NSImage and prepare for its use in more creative arenas...  Change-Id: Iec64f9accff62e9acb08942b2fa95ab15c3546b5
1918,qt-creator%2Fqt-creator~master~I03680d14dcce077e5cece1fb18a25d46ee8c347e,https://codereview.qt-project.org/219124,4,6,6,0,1283036,451,2,13,6.18722222222222,106,refactoring/,refactor|,refactoring/,refactor|,Clang: Refactor TokenInfos,Clang: Refactor TokenInfos  Remove code duplication.  Change-Id: I03680d14dcce077e5cece1fb18a25d46ee8c347e
2255,qt-creator%2Fqt-creator~master~Ia0de109e92b128aef4c18255621767280e0dcfef,https://codereview.qt-project.org/214955,5,9,1,0,318,171,4,4,525.579444444444,240,refactoring/,refactor|,refactoring/,refactor|,QmlDesigner: Refactor DesignDocument and DesignDocumentView,QmlDesigner: Refactor DesignDocument and DesignDocumentView  We want to be able to reuse the copy and paste code in other parts. Therefore we move most of the code to DesignDocumentView.  Change-Id: Ia0de109e92b128aef4c18255621767280e0dcfef
2892,qt%2Fqtbase~5.10~I1461a0f8eb7d417486fd2db1b88f9c2e6002d089,https://codereview.qt-project.org/210125,4,6,0,0,370,14,1,1,20.5225,708,refactoring/,refactor|,refactoring/,refactor|,Refactor childIdListForAccessibleObject,"Refactor childIdListForAccessibleObject  It has several problems:  1. It could potentially create an intArray with uninitialized elements.    This could happen because the index for getting interfaces were the    same as the storage index.  This was not correct, because they could    diverge if iface->child() returned an invalid interface.  2. The count of accessible child elements could change while iterating.    This could cause out-of-bounds condition when calling    SetIntArrayRegion as described in QTBUG-45855. Instead now, we call    SetIntArrayRegion only once, after we have gathered all the child    interface ids.  Change-Id: I1461a0f8eb7d417486fd2db1b88f9c2e6002d089 Task-number: QTBUG-45855"
3367,qt%2Fqtwayland~dev~I3daed9f9193b0871a0939739e43d7b556072ec2a,https://codereview.qt-project.org/207173,1,4,0,0,218,114,2,3,19.855,174,refactoring/,refactor|,refactoring/,refactor|,Refactor QWaylandPointer,Refactor QWaylandPointer  Makes it easier to follow enter and leave logic. Also add a missing buttonPressedChanged emit.  Change-Id: I3daed9f9193b0871a0939739e43d7b556072ec2a
3928,qt%2Fqtbase~5.8~Id7d6ee98a587cfd495bf5a7899f7b195e30ae790,https://codereview.qt-project.org/169774,2,2,1,0,224,517,1,7,9388.78333333333,627,refactoring/,refactor|,refactoring/,refactor|,Cocoa: Refactor QCococaGLContext,"Cocoa: Refactor QCococaGLContext  Prepare for supporting 	QCocoaWindow/QNSView that uses a NSOpenGLLayer subclass as a backing layer. NSOpenGLLayer has a callback-based API and handles tasks like making the context current at draw time.  Factor out functions for creating native pixel format and context objects in to static helper functions to make them accessible from the layer subclass.  Modify the context virtual functions to work when using a layer: makeCurrent() and doneCurrent() become no-ops, defaultFramebufferObject() asks QCocoaWindow what the current FBO is.  Change-Id: Id7d6ee98a587cfd495bf5a7899f7b195e30ae790"
3976,qt%2Fqtbase~dev~I6e931c419a654b0161ecf6e41fa658e417ffb07a,https://codereview.qt-project.org/167791,6,8,14,0,302,102,2,2,9858.14972222222,149,refactoring/,refactor|,refactoring/,refactor|,inotify: refactor event reading code,inotify: refactor event reading code  In preparation of larger refactoring in follow-up commit.  Change-Id: I6e931c419a654b0161ecf6e41fa658e417ffb07a
4255,qt%2Fqtbase~5.7~I1498b3378889ba56c9cd695c55fb931215c804af,https://codereview.qt-project.org/154390,2,2,0,0,149,147,1,1,13037.8322222222,296,refactoring/,refactor|,refactoring/,refactor|,AtSpiAdaptor: refactor some code,AtSpiAdaptor: refactor some code  Extract Method getAttributeSet()  Replace substring functions that return QString with corresponding functions that return QStringRef where it's possible.  Create QString from QStringRef only where necessary.  Change-Id: I1498b3378889ba56c9cd695c55fb931215c804af
4311,qt-creator%2Fqt-creator~master~I238c53adfb36dcf0695b462709a3400ec7c9134c,https://codereview.qt-project.org/151297,5,8,3,0,323,641,3,8,13730.1377777778,329,refactoring/,refactor|,refactoring/,refactor|,Clang: Refactor CodeCompletionsExtractor and optimize it,Clang: Refactor CodeCompletionsExtractor and optimize it  The CodeCompletionsExtractor was not very streamlined but is very performance sensitive. To improve the performance the code patter is change to a format which can be better optimized and is better understandable too.  Change-Id: I238c53adfb36dcf0695b462709a3400ec7c9134c
4826,qt%2Fqtdeclarative~dev~I03b556295b75f919c2c22f8f8884b1d54d6654c0,https://codereview.qt-project.org/205028,1,2,0,0,51,30,1,2,0.0113888888888889,156,refactoring/,refactor|,refactoring/,refactor|,refactor sendFilteredMouseEvent to match sendFilteredPointerEvent,refactor sendFilteredMouseEvent to match sendFilteredPointerEvent  and eliminate more temporary QSets.  Change-Id: I03b556295b75f919c2c22f8f8884b1d54d6654c0
4958,qt%2Fqtbase~dev~Ie05c6480d8a44fda817ffffd14d9ad4707aa8a92,https://codereview.qt-project.org/202388,5,5,8,0,249,98,1,4,414.953611111111,394,refactoring/,refactor|,refactoring/,refactor|,Refactor QNetworkAddress not to keep a full QHostAddress,"Refactor QNetworkAddress not to keep a full QHostAddress  QHostAddressPrivate is one QString and 24 bytes, allocated on the heap, which is WAY too heavy for something that fits into 8 bits. So instead of storing the expanded netmask inside QNetworkAddressEntryPrivate, we store the simple prefix length and calculate the mask only if asked.  Change-Id: Ie05c6480d8a44fda817ffffd14d9ad4707aa8a92"
5477,qt%2Fqtbase~dev~I3f54f68ff9e847fcbc66c187fd40deabec46cc25,https://codereview.qt-project.org/198124,7,23,4,0,1655,52,3,1,5.56805555555556,383,refactoring/,refactor|,refactoring/,refactor|,Refactor tst_QShaderNodesLoader,Refactor tst_QShaderNodesLoader  Pass the JSON input as QByteArray along with the OpenMode as test data instead of a shared pointer to a QBuffer. Move QFETCH to top of function before doing any checks. The test appears to be flaky which shows in COIN as well as sometimes when run under valgrind (despite no errors being logged).  Change-Id: I3f54f68ff9e847fcbc66c187fd40deabec46cc25
5917,qt%2Fqttools~dev~I9fed1b82d5afd0458b772475d303d2c0179ac73e,https://codereview.qt-project.org/193230,1,2,0,0,51,1116,1,47,0.0344444444444444,87,refactoring/,refactor|,refactoring/,refactor|,Refactor connect to use Qt5 style,Refactor connect to use Qt5 style  Change-Id: I9fed1b82d5afd0458b772475d303d2c0179ac73e
6208,qt%2Fqtbase~dev~I25d85d86649448d5b2b3fffd1450c6ac86e25dce,https://codereview.qt-project.org/159940,10,47,11,0,24961,191,7,4,39899.0988888889,305,refactoring/,refactor|,refactoring/,refactor|,Refactor the Unix event dispatchers to use QDeadlineTimer,"Refactor the Unix event dispatchers to use QDeadlineTimer  This simplifies a lot of code, since the logic of handling timeouts and the current time is now inside QDeadlineTimer.  This commit also removes the debugging code that I added back in Qt 5.0.  Change-Id: I25d85d86649448d5b2b3fffd1450c6ac86e25dce"
6288,pyside%2Fpyside-setup~dev~I8495cb1c410404018fdaf8c54d462dcb65149645,https://codereview.qt-project.org/325833,1,3,0,0,120,71,1,2,42.2241666666667,86,refactoring/,refactor|,refactoring/,refactor|,WIP: Refactor operator functions,WIP: Refactor operator functions  Change-Id: I8495cb1c410404018fdaf8c54d462dcb65149645
7406,qt%2Fqtwebengine~dev~I638023214cdc98a5101d190486452cc4a1229486,https://codereview.qt-project.org/184670,1,2,1,0,126,148,1,9,0.0122222222222222,272,refactoring/,refactor|,refactoring/,refactor|,Refactor release and debug handling,"Refactor release and debug handling  Fix release and debug builds. Refactor ninja and gn builds as a sub project, these are only build as release. Call core_generator and gn_run separately for debug and release builds.  Change-Id: I638023214cdc98a5101d190486452cc4a1229486"
7586,qt%2Fqtbase~dev~Ibcbcd835f26bc7070fb35158effbe028afe3c420,https://codereview.qt-project.org/182999,2,5,2,0,290,212,2,2,67.2511111111111,737,refactoring/,refactor|,refactoring/,refactor|,WIP - refactor HSTS cache,"WIP - refactor HSTS cache  While the original idea with tree-like struct was okeysh, since it reduces to minimum the number of string comparisons, the first implementation using a vector has a serious problem: removing 'Domains' from this vector is impossible without invalidating way too many indices in 'DomainLables' (I guess it would require heroic efforts and complexity to fix-up all indices after a removal, but I got a headache after 2.35 seconds of thinking about this). Now while the idea and even code are quite similar to the previous version, I have something more like a real tree. This means, we can remove/delete 'Domains' if/when their STS policies were invalidated.  Change-Id: Ibcbcd835f26bc7070fb35158effbe028afe3c420"
7597,qt%2Fqtserialbus~dev~I750165c0017af3b6004f0008eeb1c29020a93e70,https://codereview.qt-project.org/175169,1,6,2,0,408,25,3,2,2009.045,109,refactoring/,refactor|,refactoring/,refactor|,SocketCAN: Refactor max. payload length error handling,*** SocketCAN: Refactor max. payload lenght calculation  Change-Id: I750165c0017af3b6004f0008eeb1c29020a93e70
7727,qt-labs%2Fvstools~dev~I8064452b8242ee36c3b6fd064282de58df7a582e,https://codereview.qt-project.org/178475,1,2,1,0,165,2176,1,5,985.513055555555,118,refactoring/,refactor|,refactoring/,refactor|,WIP: Refactor MOC releated code into separate class/ source file,WIP: Refactor MOC releated code into separate class/ source file  Change-Id: I8064452b8242ee36c3b6fd064282de58df7a582e
7747,installer-framework%2Finstaller-framework~master~I12426a767a42832a0917bae92b486c23b09a8c89,https://codereview.qt-project.org/111916,1,7,2,0,578,974,2,13,14736.69,84,refactoring/,refactor|,refactoring/,refactor|,WIP: Rename and refactor code.,WIP: Rename and refactor code.  Change-Id: I12426a767a42832a0917bae92b486c23b09a8c89
7837,qt%2Fqtquickcontrols~5.5~Iba020de6aafa4a3930f0716cdf47189543f04fdd,https://codereview.qt-project.org/112093,7,20,2,0,3437,130,7,3,14164.045,83,refactoring/,refactor|,refactoring/,refactor|,Refactor loading of style,WIP Refactor loading of style  Change-Id: Iba020de6aafa4a3930f0716cdf47189543f04fdd
7907,qt-creator%2Fqt-creator~master~Ic460f4c0ad4bfc11ede1688eb1a2099c0fcd0178,https://codereview.qt-project.org/180045,2,4,0,0,86,210,2,4,20.1230555555556,91,refactoring/,refactor|,refactoring/,refactor|,CppTools: Refactor ProjectPartChooser,CppTools: Refactor ProjectPartChooser  Change-Id: Ic460f4c0ad4bfc11ede1688eb1a2099c0fcd0178
7930,qt%2Fqtlocation~dev~I01bcb809148626b505251007a385c150553899cd,https://codereview.qt-project.org/167488,7,18,8,0,3033,845,4,13,3048.26944444444,532,refactoring/,refactor|,refactoring/,refactor|,Refactor how shape nodes are implemented to support other backends,"WIP: Refactor how shape nodes are implemented to support other backends  This commit introduces an intermediate node called MapShapeNode that is responsible for creating the correct node for the respective Qt Quick screengraph backend.  This will create a custom QSGGeometry node when the backend is OpenGL, and a custom QSGRenderNode when the backend is the Software renderer. It should also be possible to add any additional nodes needed to support other backends when needed.  Change-Id: I01bcb809148626b505251007a385c150553899cd"
8029,qt%2Fqtdeclarative~5.8~I4e646cda9635c1a5f3e80315443e4b83474a5315,https://codereview.qt-project.org/178458,2,5,0,0,112,41,2,2,49.4708333333333,221,refactoring/,refactor|,refactoring/,refactor|,Refactor the calling code in SimpleScriptFunction,"Refactor the calling code in SimpleScriptFunction  Refactor the code, so that we can do function calls directly on a QV4::Function, without requiring a FunctionObject.  Change-Id: I4e646cda9635c1a5f3e80315443e4b83474a5315"
8149,qt%2Fqtdeclarative~5.8~Ifa2e563f78566e92a71d7fec15dfdbb9a6e0515d,https://codereview.qt-project.org/177538,1,2,0,0,51,50,1,1,0.0277777777777778,175,refactoring/,refactor|,refactoring/,refactor|,QQuickWindow: refactor ungrab on mouse release,"QQuickWindow: refactor ungrab on mouse release  We need to ungrab any PointerHandler which is grabbing, not only an Item.  Change-Id: Ifa2e563f78566e92a71d7fec15dfdbb9a6e0515d"
8173,qt%2Fqtquickcontrols2~5.8~I1a9108e803e8be97493cbe0484c41e43cd66c488,https://codereview.qt-project.org/177091,1,2,0,0,90,19,1,1,16.1933333333333,98,refactoring/,refactor|,refactoring/,refactor|,WIP: Contact List: refactor the ContactModel,WIP: Contact List: refactor the ContactModel  Change-Id: I1a9108e803e8be97493cbe0484c41e43cd66c488
8459,qt%2Fqtbase~5.6~Ic25840762a305b7c79db4dd46594f8bf1741bde8,https://codereview.qt-project.org/172790,4,5,1,0,785,124,1,48,190.618333333333,1107,refactoring/,refactor|,refactoring/,refactor|,iOS: refactor platform plugin into subdir 'core',"iOS: refactor platform plugin into subdir 'core'  Starting from iOS 10, apps that tries to access photos on the device need to specify the reason for this up front by adding the key 'NSPhotoLibraryUsageDescription' into Info.plist. If the key is missing, the app will be rejected from AppStore.  This causes problems for the iOS plugin as it stands since parts of it already tries to access photos, e.g to show an image picker dialog if a file dialog is set to open QStandardPaths::PicturesLocation. This means that currently, all apps written with Qt will be rejected from AppStore unless the developer adds this key, whether he tries to access photos or not.  To solve this, we choose to split the plugin into two parts, one that contains the core functionality, and one that contains optional support. The latter will need to be enabled explicit by the developer in the pro file, or in this case, indirectly by adding the right key to the Info.plist.  This patch will prepare the split by moving the current plugin code into a subfolder named 'core'.  Change-Id: Ic25840762a305b7c79db4dd46594f8bf1741bde8"
8648,qt%2Fqtwayland~5.8~I787ccc24477fb10f8fa068cdaa15824a6032ebb3,https://codereview.qt-project.org/171737,4,8,5,0,398,561,3,11,118.397222222222,158,refactoring/,refactor|,refactoring/,refactor|,WIP Refactor client buffer integration,WIP Refactor client buffer integration  Subclass buffers instead of mapping from wl_buffer all the time.  Change-Id: I787ccc24477fb10f8fa068cdaa15824a6032ebb3
8653,qt-creator%2Fqt-creator~4.0~Ia7a9f8516a3382ac0bd89af4b18d2ba57b5ffa4c,https://codereview.qt-project.org/151047,1,2,0,0,37,46,1,1,4995.65416666667,123,refactoring/,refactor|,refactoring/,refactor|,QMakeProjectImporter: Refactor some code,QMakeProjectImporter: Refactor some code  No change in functionality.  Change-Id: Ia7a9f8516a3382ac0bd89af4b18d2ba57b5ffa4c
8706,qt-creator%2Fqt-creator~master~Ia24cc1baa226416c29aa8964055e8c5090082fdf,https://codereview.qt-project.org/168799,9,4,0,0,581,2872,1,69,694.316944444444,171,refactoring/,refactor|,refactoring/,refactor|,Refactor and rename Ios plugin to AppleDevice,Refactor and rename Ios plugin to AppleDevice  This prepares the plugin to support additional device types like tvOS.  Change-Id: Ia24cc1baa226416c29aa8964055e8c5090082fdf
8936,qt%2Fqtnetworkauth~dev~I9cc697a4f63ec4cda0c10488db5a99a15117780a,https://codereview.qt-project.org/169524,2,3,0,0,186,32,1,2,0.0430555555555556,245,refactoring/,refactor|,refactoring/,refactor|,QOAuth1 constructor refactor,QOAuth1 constructor refactor  Added the client credentials pair to the private implementation constructor. QOAuth1 constructors now are calling the main constructor instead of the base class.  Change-Id: I9cc697a4f63ec4cda0c10488db5a99a15117780a
9014,qt%2Fqtdeclarative~wip%2Fpointerhandler~Ieb8482c81472f4b4447f8f23a1f4db833ab38aac,https://codereview.qt-project.org/162809,3,16,2,0,678,623,7,21,1587.71861111111,357,refactoring/,refactor|,refactoring/,refactor|,WIP refactor the event hierarchy,"WIP refactor the event hierarchy  We want the event classes to have an API which can be maintained for Qt 6: then we will be able to change the hierarchy in qevent.h to match what's being done here, and events handled in QML will be actual events rather than QtQuick-specific wrappers as they are today.  Change-Id: Ieb8482c81472f4b4447f8f23a1f4db833ab38aac"
9015,qt%2Fqtdeclarative~wip%2Fpointerhandler~I6c7bc6abb842c525f7b94979d2a0a1d6f62705fb,https://codereview.qt-project.org/163302,3,17,13,0,722,337,5,8,1464.43194444444,904,refactoring/,refactor|,refactoring/,refactor|,WIP refactor the event hierarchy even more: store everything,"WIP refactor the event hierarchy even more: store everything  Now it looks even more like Qt 6: we don't store the old-style event pointer, so we have to copy every field that we care about.  One thing that's still not canonical is that all QPointerEvent subclasses still have the QEvent::type as Pointer, so we can't tell them apart that way.  That made it pretty hard to rewrite the QQuickItem::grabPointer(QPointerEvent *, bool) function, so let's not do it that way anymore.  Hopefully it was redundant.  Delivery of QPointerEvents in QQuickWindowPrivate::deliverTouchPoints is synchronous at the moment anyway.  After delivery, it grabs/ungrabs based on whether the event was accepted.  Maybe that's enough.  QQuickItem::pointerEvent() also grabs/ungrabs based on the result of filterPointerEvent() (which might or might not be the right thing).  Change-Id: I6c7bc6abb842c525f7b94979d2a0a1d6f62705fb"
9137,qt%2Fqtbase~dev~Ida86c223593328980b3f23b044d24d8bfd76936f,https://codereview.qt-project.org/167550,1,2,0,0,129,130,1,2,144.393611111111,268,refactoring/,refactor|,refactoring/,refactor|,WIP - refactor HTTP/2 frame reader/writer logic,WIP - refactor HTTP/2 frame reader/writer logic  Introduce a new class Frame and move all frame related code into this new class' methods. Simplify reader/writer by just ... reading and writing this frame's buffer.  Change-Id: Ida86c223593328980b3f23b044d24d8bfd76936f
9577,qt%2Fqtlocation~dev~I60fb0b4e2c5daac40f671f25a9daea5a06dc9d47,https://codereview.qt-project.org/163949,5,8,0,0,4920,2,1,1,21.9686111111111,153,refactoring/,refactor|,refactoring/,refactor|,Refactor: use std::log2,Refactor: use std::log2  C++11 introduces std::log2. This patch uses that in place of log division.  Change-Id: I60fb0b4e2c5daac40f671f25a9daea5a06dc9d47
10121,qt%2Fqtmultimedia~5.6~Iaf141472dea82579ad085b3318624f9a57aa46d8,https://codereview.qt-project.org/147972,3,24,5,0,14329,3908,6,32,2616.22055555556,377,refactoring/,refactor|,refactoring/,refactor|,DirectShow: refactor custom renderer filter.,DirectShow: refactor custom renderer filter.  Refactor out some of the filter and pin logic into the DirectShowBaseFilter and DirectShowPin abstract classes. This will avoid code duplication when implementing the probe filter. The existing source filter (for qrc files) can also be refactored to use these abstract classes.  Change-Id: Iaf141472dea82579ad085b3318624f9a57aa46d8
11257,qt%2Fqtquickcontrols2~5.6~Ie79ce714221031f54a1ca02c9282abe78f782799,https://codereview.qt-project.org/143992,1,2,0,0,137,324,1,6,2035.61416666667,74,refactoring/,refactor|,refactoring/,refactor|,WIP: Refactor Drawer,WIP: Refactor Drawer  Change-Id: Ie79ce714221031f54a1ca02c9282abe78f782799
11947,qt%2Fqtbase~dev~I3c1df05fc49127b74110e25fe59907bd263aa259,https://codereview.qt-project.org/316204,1,18,12,2,884,48,2,3,242.750555555556,457,refactoring/,refactor|,refactoring/,refactor|,QColorSpace: refactor the named colorspace constructor,"QColorSpace: refactor the named colorspace constructor  The constructor taking a named colorspace reuses ""pool"" of QColorSpacePrivate to avoid recreating them (expensive).  This pool had two problems:  1) it wasn't thread-safe, which caused QColorSpace not to be thread-safe either;  2) it was leaked at shutdown.  Refactor the pool to use atomics, and clean them up in ~QGuiApplication to avoid a leak.  Change-Id: I3c1df05fc49127b74110e25fe59907bd263aa259"
12112,qt%2Fqtlocation~5.6~I6a906df405f212436cdd35ac76f95b559e6b7aae,https://codereview.qt-project.org/125763,6,16,0,0,724,226,5,6,3406.03916666667,422,refactoring/,refactor|,refactoring/,refactor|,Refactor prefetching tiles,"Refactor prefetching tiles  Current implementation uses same QGeoCameraTiles object to calculate visible tiles and tiles which should be prefetched. This is semi optimal since frustum intersection algorithm uses bunch of different parameters.  Simplify the logic and use separate objects, this way values in both cases are cached and calculation is done when required.  Change-Id: I6a906df405f212436cdd35ac76f95b559e6b7aae"
12140,qt-creator%2Fqt-creator~master~I54f1cfe9dec24dd6d25ed1e900134a16023e557e,https://codereview.qt-project.org/145941,5,22,0,0,1700,82,8,3,475.0025,681,refactoring/,refactor|,refactoring/,refactor|,CppEditor: Show refactor marker on editor's left margin,"WIP: CppEditor: Show refactor marker on editor's left margin  The light bulb is used to indicate the availability of a function signature synchronization. Before this change, it was shown on the right side of the declaration/definition.  This resulted in the following problems:  * For long lines or enough editor splits the light bulb was not    visible.  * The light bulb did not scale with the font size. (* Extra positioning code required.)  TODO:  * Provide a tool tip (separate change put in front?)  * Make the marker clickable to run the action   * Check if we can get rid of more in *Link  * QML/JS (follow-up change?)  Change-Id: I54f1cfe9dec24dd6d25ed1e900134a16023e557e"
12785,qt%2Fqtbase~5.6~I521e98e17146c530ab2972efaa91c63fb732803d,https://codereview.qt-project.org/140009,5,3,0,0,155,113,1,1,3.31055555555556,650,refactoring/,refactor|,refactoring/,refactor|,Refactor tst_QGraphicsWidget::setTabOrderAndReparent().,"Refactor tst_QGraphicsWidget::setTabOrderAndReparent().  The test produces compiler warnings in release builds: tst_qgraphicswidget.cpp: In member function 'void tst_QGraphicsWidget::setTabOrderAndReparent()': tst_qgraphicswidget.cpp:1521:89: warning: 'w2' may be used uninitialized in this function [-Wmaybe-uninitialized] tst_qgraphicswidget.cpp:1536:88: warning: 'w1' may be used uninitialized in this function [-Wmaybe-uninitialized]  Use arrays instead of the variables w1,2... and rewrite the helper function compareFocusChain() to work on iterators allowing to remove some temporary lists.  Change-Id: I521e98e17146c530ab2972efaa91c63fb732803d"
13429,qt%2Fqt3d~dev~I9807255ea1ea6485b482e611bfc7cde5b9462c32,https://codereview.qt-project.org/101429,5,11,3,0,1196,931,4,16,7097.43444444444,523,refactoring/,refactor|,refactoring/,refactor|,Refactor QUniformValue and QGraphicsUtils::valueArrayFromVariant.,"WIP: Refactor QUniformValue and QGraphicsUtils::valueArrayFromVariant.  We now use inheritance instead of QVariants everywhere. This allows us to store the QMatrix4x4 directly as a data member and return its data directly from there as well, without any QVariant conversions inbetween. Such conversions are costly, as they require temporary allocations.  With this code in place, and a proper unit test suite, we can now add more uniform value subclasses in the future.  Change-Id: I9807255ea1ea6485b482e611bfc7cde5b9462c32"
13627,qt%2Fqtbase~dev~I847c8c023640d2a2890ebc696b75584ae7fa58ab,https://codereview.qt-project.org/92928,3,7,0,0,273,174,3,8,9582.43194444444,617,refactoring/,refactor|,refactoring/,refactor|,Refactor QCocoaGLContext implementation.,"Refactor QCocoaGLContext implementation.  Move the makeCurrent/swapBuffer implementation to QNSView in anticipation of layer-backed QNSViews where the behavior of these functions will change based on the QNSView configuration.  We can almost get rid of the window <-> context bookkeping. In the end we need to look up the current context for a window for at least two use cases: - QCocoaNativeInterface::nativeResourceForWindow - Proper [context update] handling. (update should   be called whenever the window changes geometry,   according to the documentation.)  Change-Id: I847c8c023640d2a2890ebc696b75584ae7fa58ab"
13904,qt%2Fqtserialport~5.4~I4320c2e29ad42a394e07753cbaea804d0faf6b78,https://codereview.qt-project.org/102924,1,3,1,0,129,163,1,3,5818.43527777778,706,refactoring/,refactor|,refactoring/,refactor|,WIP Refactor the setBaudRate() method,"WIP Refactor the setBaudRate() method  The internal implementation of this method is a little tangled (at least in *nix). It is reasonable to simplify it:  1. Removed the setBaudRate_helper() method, since it is equivalent to setStandardBaudRate() method.  2. Added the clearCustomBaudRate() method, which is implemented for Linux only (on other platforms we not need it).  3. Now the setStandardBaudRate() and the setCustomBaudRate() are self- sufficient methods (can setup a speed and an error codes internally) and return a boolean values.  4. The code of validation of incorrect baud rate value is moved to QSP::setBaudRate().  Bla bla ... continue  Change-Id: I4320c2e29ad42a394e07753cbaea804d0faf6b78"
14192,qt%2Fqtdeclarative~5.6~Id40c99e9c3d74834dbe6ab94f6965d5586a7759b,https://codereview.qt-project.org/123365,1,2,0,0,90,36,1,5,84.7627777777778,81,refactoring/,refactor|,refactoring/,refactor|,WIP: refactor worker script,WIP: refactor worker script  Change-Id: Id40c99e9c3d74834dbe6ab94f6965d5586a7759b
14197,qbs%2Fqbs~master~I4980059d3e11d29570e5dcb92aba4ff5c8ad8a70,https://codereview.qt-project.org/95183,4,20,0,0,541,138,10,1,7939.09861111111,273,refactoring/,refactor|,refactoring/,refactor|,"Refactor prepareCompiler a bit, rolling in additionalCompilerFlags.","Refactor prepareCompiler a bit, rolling in additionalCompilerFlags.  There was no clear reason for this to be separated. The input filename is the now the last argument to the compiler, making logs a bit easier to read.  Change-Id: I4980059d3e11d29570e5dcb92aba4ff5c8ad8a70"
14225,qt-creator%2Fqt-creator~master~Ib911f5c7c6b101a86ef45ad262b31a87007d4b4a,https://codereview.qt-project.org/123110,2,3,0,0,335,57,1,1,22.3005555555556,215,refactoring/,refactor|,refactoring/,refactor|,Utils::transform: refactor duplicating type declarations,Utils::transform: refactor duplicating type declarations  moving them up to transform function template arguments. Also added wrapper around ContainerType trait.  Change-Id: Ib911f5c7c6b101a86ef45ad262b31a87007d4b4a
15498,qt%2Fqtquickcontrols~5.5~I7388ff648f70ba20a1f944485724a28249524848,https://codereview.qt-project.org/109695,3,2,1,0,120,693,1,6,0.0336111111111111,474,refactoring/,refactor|,refactoring/,refactor|,Refactor: Move some common code up to QQuickLayout,"Refactor: Move some common code up to QQuickLayout  This should make them available to other types of layouts, such as StackLayout  * geometryChanged() is now reimplemented in QQuickLayout, and will call   the virtual rearrange() * As a consequence, isReady() is also moved up to QQuickLayout * invalidateSenderItem() is moved up * Moved some of the itemChange() code up  Change-Id: I7388ff648f70ba20a1f944485724a28249524848 Reviewed-by: J-P Nurmi <jpnurmi@theqtcompany.com>"
15821,qtsdk%2Fqtsdk~refactor~I1f454a1d621195e7696a5703b0b6828d45ef42f9,https://codereview.qt-project.org/107609,3,3,0,0,122,0,1,0,2.5075,89,refactoring/,refactor|,refactoring/,refactor|,Merge branch 'master' into refactor,Merge branch 'master' into refactor  Change-Id: I1f454a1d621195e7696a5703b0b6828d45ef42f9
